number_sta,lat,lon,height_sta,mean_power,measures_number
38442008,45.32,5.8,950.0,22.039257560886533,175244.0
73171002,45.49,6.05,264.0,33.79308941838281,173499.0
63113001,45.79,3.15,326.0,71.37402497123593,172959.0
6136005,43.86,7.43,843.0,64.87438653466708,174344.0
34217001,43.72,3.86,85.0,25.121637811009034,171659.0
73304005,45.44,6.98,1850.0,14.439926782672746,173784.0
34209002,43.32,3.35,16.0,171.17667354113505,174365.0
42005001,45.53,4.29,402.0,52.47497367877076,174156.0
30189001,43.86,4.41,62.0,73.18441991532447,175021.0
15114002,45.3,2.83,1075.0,83.67638122005532,174697.0
26002003,45.25,4.82,153.0,85.56497181753178,174825.0
73329001,45.64,5.88,235.0,46.29679166714816,173074.0
69299001,45.73,5.08,240.0,112.05275713632987,175090.0
20268001,41.94,9.12,837.0,50.17678000299512,173616.0
26064001,44.91,4.97,164.0,215.02058212340413,174597.0
38412002,45.39,5.72,380.0,11.633577722869456,173218.0
83035001,43.25,5.78,418.0,176.7358335860478,174769.0
4070009,44.07,6.187,554.0,19.121687293183324,169232.0
13103001,43.6,5.1,59.0,234.4039654473411,174140.0
81182004,43.73,2.36,566.0,75.3206108894991,173727.0
73051001,45.66,5.82,1496.0,113.0688240367228,165347.0
83031001,43.38,6.39,82.0,122.17837029667879,174903.0
84026003,43.72,5.35,152.0,69.01043965546765,175194.0
6088007,43.74,7.28,238.0,41.7661263920584,175280.0
74182001,45.93,6.11,459.0,24.039152310014174,174263.0
12254001,44.41,2.48,579.0,122.30706043798139,173980.0
6037002,43.75,6.92,1268.0,208.58006718738412,175271.0
5007003,44.8,6.73,1825.0,9.825146705561323,175174.0
63353003,45.46,3.53,1070.0,40.99458677128991,170644.0
20004003,41.90999999999999,8.62,124.0,363.1076343127929,169243.0
34301002,43.4,3.69,81.0,113.45870954568652,174351.0
26292002,44.29,5.41,625.0,61.69852961080016,175257.0
43130002,45.03,4.24,1130.0,263.6471357548076,165519.0
7068001,45.02,4.67,566.0,77.55471954382595,173881.0
42207005,45.49,4.53,390.0,37.316626383057155,173619.0
69029001,45.73,4.94,198.0,94.28274036456698,175057.0
13004003,43.51,4.694,1.0,258.9307439150581,173954.0
12145001,44.12,3.02,713.0,240.75721772970738,173449.0
73054001,45.61,6.76,868.0,15.197212856186285,174733.0
20148001,42.54,9.49,12.0,69.17644714090613,175003.0
4049001,44.06,5.99,461.0,111.87042760083459,173973.0
6075007,43.85,7.21,691.0,149.72282279131372,175172.0
81292001,44.11,2.28,537.0,137.6259167004332,175223.0
83044003,43.659,6.471,892.0,61.05010604183118,173507.0
84085004,43.94,5.23,488.0,400.6583596101583,175148.0
6038001,43.67,6.99,388.0,37.470624132871244,175147.0
6088001,43.65,7.21,26.0,145.60329310748537,175103.0
1033002,46.09,5.81,350.0,6.488157420083512,175308.0
46100001,44.58,2.0,342.0,26.926645236043168,175201.0
7096001,44.84,4.52,760.0,58.10474098746312,171733.0
48095005,44.53,3.45,934.0,57.02644488137524,168346.0
6118002,43.679,6.809,694.0,71.51122847934668,174379.0
12077002,43.92,3.19,718.0,153.38817355371904,173514.0
74056001,45.93,6.88,1042.0,3.900251279207378,174913.0
7131001,44.54,4.37,280.0,57.387692004160954,172077.0
83049005,43.25,6.13,73.0,98.38162199395634,174066.0
63178001,45.54,3.26,372.0,29.922295275320963,175250.0
20342001,41.92,9.4,17.0,62.52012516507448,174921.0
5061009,44.58,6.08,885.0,112.54898831013236,175280.0
74060001,45.782,6.152,970.0,23.796479082190697,165481.0
63098001,45.53,2.77,1385.0,297.67745115133573,172973.0
30081002,44.135,4.708,30.0,352.2187110066452,34461.0
73227006,45.4,6.63,2005.0,23.323010596148546,173648.0
13074003,43.657,5.607,217.0,42.17015986129865,174764.0
26168001,44.67,5.71,1059.0,70.716673870683,174486.0
6091003,43.78,7.43,1106.0,210.2861415595026,175043.0
6029001,43.56,6.95,4.0,44.975863435336954,173654.0
30176002,43.95,3.58,640.0,89.4628790422777,172242.0
69028001,45.71,4.69,317.0,45.8970898497639,174725.0
20004002,41.92,8.79,9.0,56.79527922196586,175108.0
4134002,44.33,6.03,665.0,10.854756577070132,175230.0
4019001,44.39,6.67,1155.0,11.52530640015069,175199.0
66029003,42.59,2.68,347.0,227.50939557172708,174244.0
42101001,45.36,4.56,1167.0,197.2602481228571,173535.0
42218011,45.45,4.36,602.0,53.35341233565084,174324.0
84031001,44.08,5.06,106.0,53.83297357359447,172479.0
63003004,45.52,3.74,555.0,25.268614456174923,174569.0
42039003,45.699,3.844,990.0,90.32657957427148,173115.0
38191002,45.09,6.09,1860.0,68.97999122037386,172103.0
13022003,43.22,5.5,212.0,106.71117391750933,175244.0
1414001,45.916,5.625,878.0,37.708954819741386,175165.0
19201001,45.54,2.42,745.0,31.984409177536634,175254.0
66137003,42.47,2.86,295.0,124.6841988758595,175245.0
7204008,45.0,4.37,1014.0,100.42121096346463,174215.0
30087002,44.02,3.83,589.0,14.052714553765012,174807.0
11168001,42.91,2.25,420.0,121.18276329643781,170572.0
1034004,45.77,5.69,330.0,19.96615163497144,175263.0
5120002,44.77,6.98,1670.0,40.70476757640253,170086.0
4230001,43.84,6.001,600.0,102.48351124757264,174571.0
81284001,43.91,2.12,171.0,40.913048539189546,174766.0
11262005,43.15,2.96,110.0,234.3773822123852,170332.0
6005001,43.92,7.01,1173.0,63.10468127797943,174682.0
20270001,42.08,8.8,407.0,15.631477344216377,174216.0
7032002,44.63,4.57,650.0,132.12400241899317,169492.0
34151005,43.63,4.17,4.0,55.613802906163485,175145.0
20281001,42.8,9.49,111.0,496.0413596908885,174953.0
5046001,44.57,6.5,877.0,77.45873582698836,174416.0
34239002,43.66,3.51,86.0,155.46917096636136,175245.0
43046001,45.055,3.894,714.0,77.28938126374096,35023.0
30003001,43.537,4.207,1.0,272.53010601927303,174855.0
84150001,44.34,4.91,141.0,90.0838786218637,175048.0
13054001,43.44,5.22,32.0,344.4277314309213,175076.0
43137003,45.314,4.231,777.0,91.42501254665694,174947.0
69258001,46.22,4.63,740.0,24.125705377862385,172801.0
5055001,44.57,5.75,825.0,55.19973677643138,174707.0
38548001,45.08,5.56,1024.0,99.53203930192711,169839.0
5170001,44.45,6.03,600.0,18.42912099047184,175270.0
38133001,45.36,5.6,300.0,12.03516503412793,173758.0
12005001,44.76,2.87,1107.0,275.98108551072954,175171.0
48004001,44.494,3.852,900.0,123.37796358084077,137208.0
13091002,43.6,5.32,250.0,50.81081635424689,175245.0
13001009,43.53,5.42,173.0,36.48300938200867,175229.0
13047001,43.52,4.92,24.0,400.16638636572117,174428.0
84007005,43.91,4.9,48.0,277.3915919379993,169288.0
34178001,43.48,3.15,140.0,97.54026190476189,171906.0
63038002,45.502,2.866,1287.0,305.7985580832723,175257.0
13099001,43.71,5.77,296.0,36.6098654858925,169945.0
6083005,43.79,7.49,216.0,45.405080005933975,175262.0
43062001,45.07,3.76,833.0,61.18792755296891,174914.0
20154001,42.19,8.66,515.0,82.1757115369211,174778.0
30101001,44.07,4.14,185.0,59.73426355929217,170326.0
20232002,41.81,8.9,407.0,29.53807875067829,171389.0
20272004,41.65,8.98,62.0,27.50864591684082,175134.0
66136001,42.74,2.87,44.0,257.2407101508917,174960.0
20114002,41.51,9.1,23.0,205.6979070997852,173132.0
30258001,43.76,4.42,105.0,141.24468308096002,174543.0
20258001,42.18999999999999,8.81,755.0,43.62104820905609,173121.0
23067001,45.7,2.26,772.0,18.31367209906865,174263.0
34269001,43.39,2.86,258.0,137.47752034706176,175185.0
63451001,45.67,2.89,1045.0,269.28737187993124,173634.0
69174002,45.94,4.38,831.0,323.12560926252957,164210.0
83101001,43.2,6.67,107.0,403.7317837045859,169606.0
81115002,43.48,2.6600000000000006,448.0,145.18351287063447,172913.0
84087001,44.14,4.86,55.0,364.88541582744523,175063.0
6094002,44.1,6.93,1784.0,54.45888449207126,173105.0
15122002,44.73,2.17,480.0,35.20863890238396,174961.0
1089001,45.98,5.33,252.0,50.12536730268368,174314.0
73132003,45.76,6.53,1633.0,34.83320639917145,171866.0
11260002,42.96,2.53,538.0,138.3957875223712,174889.0
11069001,43.22,2.3,127.0,205.35546814323013,173511.0
13036003,43.85,4.83,17.0,104.1132575726343,174642.0
81120002,43.55,2.29,241.0,326.33074367712584,169899.0
83124002,43.58,6.622,278.0,54.24097792812082,175155.0
48148004,44.17,3.85,518.0,135.0670960559652,175252.0
13110003,43.45,5.7,264.0,59.28086041785589,175180.0
84009002,43.79,5.62,381.0,78.02911298727417,174055.0
42253001,46.05,3.9899999999999998,336.0,50.06913091869568,175292.0
26198001,44.58,4.73,74.0,132.68672284629216,175105.0
63354004,46.033,2.804,705.0,92.3115361526637,174344.0
6079002,43.52,6.9,104.0,101.77808751437875,174737.0
13062002,43.42,5.5,416.0,27.97902576143147,175262.0
7202002,44.53,4.07,540.0,8.344404907322556,169135.0
84107002,44.041,5.493,836.0,121.40682066569046,172092.0
26321003,44.55,5.28,607.0,34.117927169178074,174006.0
20223001,42.54,9.19,510.0,41.55171851458703,175224.0
83116022,43.48,5.85,294.0,59.50706961036283,174701.0
83019002,43.2,6.38,88.0,16.73682400374364,175231.0
11333001,43.0,2.05,601.0,163.08270877020837,175298.0
30209002,44.0,4.76,44.0,227.32814312580416,171751.0
23079002,45.88,2.19,635.0,54.6809984180752,174471.0
15120005,45.22,2.29,674.0,43.78705646104433,175289.0
5070003,44.32,5.79,565.0,59.01590709378494,175252.0
84003003,43.89,5.38,222.0,29.512456376192116,171019.0
20254006,41.78,9.14,932.0,41.505527147993476,175501.0
83061001,43.42,6.74,7.0,78.97045870519092,174574.0
13005003,43.31,5.6,130.0,64.68718327732735,174386.0
30334003,43.99,4.4,72.0,26.528732133561395,174811.0
26074001,44.96,5.42,879.0,30.911862086616424,173870.0
